,quality
4245,5
3579,7
4953,5
1090,6
261,5
576,6
5279,6
2564,6
4552,6
6210,5
1624,7
1974,5
1929,5
4448,5
3436,6
4856,6
3657,8
3838,5
398,5
3244,7
3965,4
3475,6
4461,6
4968,6
4795,7
1190,6
5094,5
3015,6
3604,6
6282,5
2094,5
4362,6
6141,5
1606,6
1304,5
3110,6
96,6
2621,5
1022,8
2972,6
2053,5
2532,4
3994,7
1611,6
5749,5
2501,5
274,5
4361,6
5799,7
614,5
4827,6
3521,7
1349,4
1753,7
5804,5
4145,6
5050,5
3687,5
3966,6
4521,5
3925,5
3822,6
12,5
2752,6
5593,6
3096,7
1855,6
825,6
4470,6
3772,6
6271,5
4954,5
3528,4
1204,6
527,6
483,5
5240,6
1564,5
3910,6
809,6
3373,7
3280,5
3382,7
1821,5
49,5
6479,5
510,6
1548,6
4972,5
2150,6
4694,7
2780,5
5156,5
5368,5
802,5
2598,5
2541,6
1675,5
4529,6
1563,6
6461,5
3682,7
1963,6
2432,5
5149,6
3161,5
4504,5
2608,6
2956,6
696,6
2318,4
5777,5
5090,5
6106,7
3962,7
4621,7
2570,5
4001,5
6218,5
2401,4
22,8
1210,6
3289,5
753,6
4089,6
3388,6
4764,6
4337,8
5336,6
1866,6
3470,8
4211,6
874,5
1462,6
1147,5
6134,6
1865,6
5506,6
1351,7
2480,5
5413,5
1956,5
4235,5
1549,6
5373,5
6443,6
1788,5
1368,6
3481,5
6301,8
3456,5
3132,6
6393,6
5316,6
4154,5
4073,5
5701,6
2974,6
4702,6
2144,6
2668,6
4363,5
6257,6
3344,6
6370,6
4249,6
5223,6
699,5
6385,5
5770,4
5215,6
4895,6
4431,6
3933,4
2955,5
2223,6
3385,6
2426,6
73,6
6270,5
55,6
100,5
4295,5
2615,7
1154,4
4800,7
2830,5
2303,5
6357,7
282,4
5524,5
1310,6
4025,6
751,6
5198,6
2495,5
5484,7
2343,5
5695,7
1174,6
500,6
172,4
1477,6
2309,6
587,7
1748,5
1995,6
3739,7
562,6
2912,7
6274,5
3409,3
2971,5
83,6
6295,5
5985,6
5320,5
2604,7
1949,5
1410,6
5112,6
6395,6
2122,5
5088,5
3016,6
2560,6
1000,7
6205,4
1742,6
2420,7
3670,6
4959,5
2010,6
4993,6
6124,5
1179,5
4465,5
5197,5
656,6
1025,6
896,6
5300,6
3574,6
5688,6
5142,7
3145,6
3898,7
3676,7
5738,7
5404,7
2217,6
2228,7
5819,6
641,4
2181,6
2550,5
1358,8
226,6
5291,5
1376,6
421,6
5302,5
8,6
10,5
6434,6
5033,5
4519,6
5214,5
1631,6
811,6
3697,6
1120,6
4657,7
1412,8
5021,5
5735,7
1315,6
1247,6
4597,6
5407,7
1693,5
4981,5
5656,5
3837,6
3694,5
4645,7
5605,5
6133,4
2656,4
3704,6
2344,6
4395,5
50,6
5585,5
2897,5
2269,6
5494,6
3207,6
2543,6
4288,6
5581,5
3506,6
5742,6
3833,6
4938,5
795,5
1791,5
5884,7
1245,4
5044,5
5190,6
609,6
4164,5
2937,5
4950,6
1153,6
2185,7
698,5
2539,5
2431,5
4113,6
6473,6
1196,7
3671,7
4008,6
1469,5
2257,6
882,6
1256,6
472,6
3300,5
938,6
4786,8
5331,5
6070,6
2403,6
1952,7
6314,5
1150,5
6265,6
1925,6
3010,5
810,5
5734,7
2695,6
1109,4
2439,6
830,6
1086,8
4369,6
1520,6
1031,6
5787,5
516,5
932,6
5827,7
4767,7
1087,8
937,5
1719,6
5089,6
2310,5
3149,6
2928,7
5618,5
3359,6
5402,7
6215,6
4703,7
4075,6
5488,5
3896,6
5392,6
1216,8
1717,6
4152,6
5064,5
958,7
5527,5
4829,7
2531,4
3154,6
5296,6
2448,6
2717,6
5691,5
120,5
3573,6
1521,5
3885,6
4016,5
5132,6
2220,6
1806,5
3583,6
4368,6
4860,6
6030,7
69,5
101,5
1004,6
5617,5
2555,7
687,4
6358,6
489,6
601,6
1892,5
5120,5
4232,6
5700,7
3365,7
4397,5
2334,5
3426,6
2376,6
626,4
1307,5
4796,7
4894,5
150,7
2119,4
6418,6
5133,6
6081,5
3135,6
469,5
4928,5
549,5
1900,6
2402,6
3550,6
5721,5
2979,7
3839,5
5192,6
3832,5
791,7
2246,4
1363,4
1269,6
3322,7
4601,6
4537,5
2428,6
4516,6
4631,7
3836,6
6153,5
6396,6
2592,5
3351,6
1325,7
5651,5
5758,5
794,5
5936,7
2078,6
5537,6
6199,6
2396,5
888,6
5139,6
3978,7
3683,6
1540,6
2807,5
122,5
3166,6
1342,6
952,6
1275,6
5386,7
5652,6
6139,5
4947,5
4423,6
1091,6
5170,5
4697,7
596,5
2754,5
538,5
2058,5
3472,6
2313,7
2677,6
3674,5
195,6
4921,5
5230,6
1986,6
5547,6
3716,5
2666,7
1731,6
865,6
1441,5
381,6
3812,5
2850,5
857,5
2800,5
3186,4
3038,6
1016,5
5528,6
4176,6
5774,4
1178,5
5493,5
4058,6
1517,6
6084,5
5047,6
4643,6
6040,6
633,5
2151,5
5324,6
2537,6
3754,8
230,4
4161,7
2799,7
11,5
1834,6
675,6
3858,6
2130,5
4112,6
3545,6
6290,5
6353,6
2860,6
1772,6
4355,6
2900,6
174,5
3158,7
5583,5
3923,5
4678,6
5468,6
3212,5
5001,5
2919,5
5466,6
372,5
1726,6
3857,6
1605,9
1480,6
4699,5
6488,6
3779,7
2777,6
1775,6
75,5
5431,6
2379,4
4768,6
3608,6
3645,6
3494,6
1807,6
2159,4
4600,6
2968,5
3726,7
4730,5
3536,6
3991,5
3909,7
1743,6
3756,5
1941,5
3708,5
897,6
1522,5
5994,6
4741,6
4903,5
3510,6
5604,5
4579,6
1047,5
2612,7
1026,6
1626,6
2370,7
3443,6
5482,7
2436,5
3484,8
5168,6
160,7
5009,5
4932,5
1438,5
5205,6
3384,6
2888,4
5193,5
1373,6
6080,6
402,5
2545,6
837,8
315,6
2109,6
4940,6
3183,6
5998,6
6032,7
4818,6
1258,6
5310,5
190,6
3346,6
3116,7
3846,6
2366,5
3427,6
283,5
5293,7
2382,8
5915,6
4676,6
2161,7
3332,7
139,6
2387,4
4619,5
4048,6
3312,7
2528,6
4875,6
2596,5
2285,5
859,5
1044,7
1500,7
2671,7
1958,6
3821,6
3316,6
1874,5
1378,7
5377,6
5518,5
5129,6
1398,7
1934,6
5472,6
1970,6
5569,5
293,7
4824,5
4128,5
6052,6
6225,6
2312,5
6072,6
2032,6
575,6
4306,6
5041,5
1813,6
2170,7
2152,6
2895,5
6110,6
3391,8
1406,8
3134,6
5189,5
1273,5
3520,5
3042,6
5358,6
3540,6
4298,6
5813,6
82,5
2679,6
1423,4
3749,6
5952,6
5917,5
3582,6
5444,6
3439,5
5096,7
4711,6
2469,5
436,5
3208,5
3284,6
1957,6
577,7
1525,5
94,7
1757,5
5660,6
6224,6
5172,5
1045,5
4610,6
4276,7
1461,6
784,5
541,5
3237,7
5791,5
3597,6
392,6
701,7
5793,6
1386,7
441,6
1394,7
4963,5
1677,6
5844,7
2785,5
2333,8
5916,6
5327,6
613,5
3253,8
4659,6
411,6
1836,6
5578,5
5882,5
1513,6
5849,7
4349,5
5715,6
6144,5
1846,5
4270,6
2020,6
127,7
4403,5
33,6
4114,6
6342,6
4060,5
3698,6
5961,6
2866,7
3665,8
4061,5
1071,5
6494,6
449,7
1560,6
6157,6
649,7
4671,5
2232,6
1556,6
1569,5
4815,7
1405,4
280,8
1302,6
2734,6
3402,6
4160,7
4951,5
4017,6
1408,7
4759,6
4043,7
6382,4
4739,6
2096,5
4681,6
544,6
617,6
5194,5
2886,5
4755,6
3799,5
3740,7
908,4
4761,6
312,6
5682,5
209,6
840,7
2793,7
4482,6
504,6
3256,6
2722,7
200,5
3514,6
5186,7
4447,6
5345,5
5850,7
4863,7
4891,6
4333,8
1566,5
6280,5
5658,5
2893,7
728,5
3362,6
2881,7
1510,5
6401,6
738,7
4892,5
5452,5
5399,7
2681,6
6053,5
3424,6
1616,6
58,6
2737,7
2054,5
6039,6
3632,6
2064,6
2391,6
2188,6
2690,6
4769,6
6058,7
2292,6
6059,6
1926,6
1822,7
3720,7
514,7
2055,6
3353,6
1472,5
3598,7
2854,6
6278,6
1744,5
4281,5
430,5
5986,7
2718,6
305,6
2649,6
5835,4
2389,8
1344,8
3558,6
4170,7
255,8
5806,6
3196,7
2472,6
5671,6
2523,5
5337,5
5818,5
3641,6
2736,6
5974,6
6283,5
3199,7
3744,7
5154,5
3163,7
2837,6
6406,6
5419,5
5649,5
2626,7
149,6
5483,6
5191,6
3313,7
6341,5
397,6
2745,7
6261,4
902,5
4806,6
383,6
6034,6
6329,6
6331,7
1916,5
552,7
4240,6
1455,5
4062,6
5523,5
2073,5
3462,6
3886,6
6090,7
5268,5
303,6
5675,6
5655,5
1894,5
3190,7
435,7
5502,6
655,6
1321,6
2650,5
4716,6
5121,6
4784,5
443,6
1988,6
1908,7
3654,6
2576,5
2625,5
5874,5
6148,6
2066,5
5236,6
3614,5
1131,6
1945,6
5778,5
683,5
1714,5
3349,6
5393,8
3773,5
2456,6
4495,6
5729,6
2450,5
643,5
2512,6
3725,6
5072,5
1002,6
6028,6
1967,7
2869,6
4923,5
4636,5
3261,5
2746,6
4647,7
6333,6
3518,5
6126,7
6287,5
6158,5
6100,8
2487,6
199,5
4086,6
3643,6
170,6
45,7
4941,5
6187,5
3969,6
1552,7
5278,6
4406,7
1471,6
1725,6
5555,7
5577,5
3535,5
3379,5
248,7
2959,7
558,5
3193,5
2463,7
4241,6
1126,7
5627,6
6033,6
1219,8
3791,5
1112,6
5286,6
1177,6
4620,6
5817,6
5145,5
4,6
1119,5
16,6
4107,6
1735,6
1396,7
259,4
4886,7
2499,6
335,6
59,6
766,5
4520,5
3947,7
1257,6
1906,5
2699,6
5582,5
1646,6
3767,5
4754,6
2254,6
2883,7
2405,5
1294,4
6129,5
1231,7
535,5
1352,6
4323,6
3609,6
431,5
3586,7
1271,5
3525,6
4808,5
3734,5
4649,5
5966,7
2828,7
3281,6
547,6
645,5
2126,5
3378,8
4885,6
5071,6
5851,7
1083,6
5816,6
3530,5
3685,6
6293,6
4567,5
5601,4
5615,5
5428,6
5436,7
117,6
1198,6
163,6
3310,7
4669,5
2882,5
4324,6
2801,5
3118,7
5533,5
3423,5
5171,5
5755,7
1040,4
1425,6
5549,5
6115,6
3646,7
5508,5
2068,6
223,6
3184,7
5330,6
3568,7
1720,7
1009,6
1021,7
1718,4
3650,4
5999,6
1362,7
5446,6
86,6
3783,5
3655,7
1670,6
2419,5
9,6
5983,5
417,5
6412,6
3177,5
2943,8
686,7
5896,6
3370,6
4871,6
5461,6
3438,5
3879,4
5535,5
2624,5
3561,5
5299,6
1473,6
1329,5
4127,5
520,5
774,9
1978,6
991,4
5760,5
6170,5
4958,5
4353,6
2301,5
3327,7
6189,6
2716,5
4436,6
1077,5
5599,6
5037,5
4173,5
1942,5
1143,5
3617,5
2380,4
1075,7
2024,5
3930,6
5065,4
1690,4
1983,8
6177,7
3911,6
5784,6
256,7
3123,5
400,6
6307,6
1185,5
5221,6
5573,5
3913,6
3881,6
3073,5
6200,6
2221,6
3160,6
1579,4
5225,5
1621,5
513,6
3271,7
872,6
2180,6
5710,5
1794,5
228,6
429,5
4405,5
5500,5
3572,6
2872,7
2182,5
3761,7
4438,5
6288,6
4052,5
685,5
4484,5
4381,6
926,5
4874,6
5948,5
3401,5
3260,6
990,6
5440,5
1672,5
1575,6
2720,7
1095,8
6427,6
6273,5
3217,5
475,5
5810,6
3570,6
2168,7
5665,5
3109,4
3480,8
4457,5
1669,6
2356,6
1535,6
2630,6
1550,6
5717,5
3229,7
1486,6
5056,5
5481,7
5222,6
5055,5
4718,6
118,5
2579,6
1162,7
3240,6
2475,5
532,6
5602,4
1928,6
3715,6
3585,7
4851,5
5709,6
3072,6
862,6
1409,6
2278,6
6166,6
3889,6
6366,7
2102,5
203,6
219,5
5095,6
5689,5
1604,5
379,7
4401,6
1155,4
3397,6
5997,5
432,7
6193,5
4542,5
4490,6
6317,5
6269,6
2247,6
322,6
6230,6
4658,6
1445,6
4356,5
6315,7
1771,6
5967,5
1102,5
4535,6
2133,6
2359,5
1728,5
2104,5
2700,7
3593,7
5538,5
2148,5
1023,6
1648,5
6338,7
6455,6
1343,6
4310,6
2896,5
6000,6
3153,6
1961,5
3336,6
4701,6
205,5
871,5
2530,6
843,7
977,5
5625,5
5570,5
1205,5
4527,6
1330,5
4097,6
2219,7
4309,6
2014,5
3007,7
2316,7
4238,5
3984,7
4429,6
5921,6
2237,4
5294,5
2355,7
184,5
5277,6
1733,6
1067,7
5902,5
2663,8
5544,5
3231,6
6446,5
2484,5
1994,6
3842,6
6051,6
2999,7
2993,7
4723,6
159,8
1106,8
4934,6
1468,5
3265,3
286,6
6423,5
5836,7
1666,5
2500,5
6102,7
4777,6
6432,7
3201,6
2766,6
4040,5
2782,6
971,7
215,5
4464,5
4611,5
3416,6
3350,6
4720,5
5574,6
5648,5
5789,5
3904,7
5087,5
124,6
6291,5
1350,7
6014,6
4316,5
2407,6
6076,5
1650,7
3851,7
3563,5
5304,6
4746,6
121,5
6178,6
6453,7
4878,4
5938,5
249,5
1391,6
5706,5
5417,5
3854,6
5117,5
2315,6
4526,6
5548,5
3421,8
1495,7
563,7
734,5
4637,6
2652,7
2659,6
1880,5
4859,6
4498,5
2351,6
1416,6
2694,6
4022,5
2651,5
4132,5
779,8
5969,5
4237,5
3777,6
1875,5
1161,6
5086,5
4371,5
925,5
3195,6
1393,6
4557,6
6254,5
142,6
3267,6
2964,5
2327,6
2155,5
684,5
3314,6
898,6
6002,6
4198,5
1488,6
1528,6
4627,6
4980,5
1497,7
3640,6
3476,8
4206,6
4952,6
6450,6
5414,6
4221,6
1278,6
6142,6
2332,6
737,5
38,5
3628,6
4857,6
3376,6
526,4
1629,6
1844,6
1910,5
1459,6
4445,6
348,6
3159,6
1692,6
5275,7
1141,5
743,5
6334,5
5227,5
4931,6
3908,7
3131,5
4508,4
3252,8
3437,5
5323,7
4844,6
246,7
4041,5
260,6
2806,5
2544,6
5209,6
6327,5
5378,5
616,7
2023,6
1688,3
1723,8
2183,5
5910,5
2643,5
5104,7
2817,7
5429,5
3091,6
4496,6
988,5
2349,5
1148,6
4183,7
6237,6
4568,6
1287,7
1678,6
5517,5
1561,5
1437,7
1845,5
3542,6
4915,5
5702,6
1999,6
4890,6
611,6
3711,6
4497,5
3817,6
231,6
2265,5
386,7
5979,7
5319,7
1010,6
6263,5
5753,7
3333,6
6031,7
192,6
342,6
5491,5
4985,5
6180,6
5546,7
4027,5
4804,4
2497,5
5982,6
678,7
876,9
1224,7
4409,7
4463,6
4384,5
3800,5
2479,6
501,6
406,7
1899,7
923,6
4667,7
1355,5
3980,5
3230,6
2474,7
3180,6
3326,5
6305,6
4588,5
1559,4
1613,7
6012,6
306,5
3191,6
5476,5
2498,5
1066,6
4433,5
5685,6
151,6
3034,6
769,7
6308,6
3187,7
3887,6
5852,6
5261,5
3863,6
3068,6
4197,5
2213,6
490,6
3442,7
4163,5
5667,5
783,8
5403,7
4069,6
929,5
1195,6
3600,6
2916,6
4528,6
3224,6
3560,6
4071,6
3000,7
285,5
6056,6
2174,7
4366,6
5460,5
4910,5
332,6
1464,8
2743,6
2192,6
4774,4
2533,5
1208,6
5218,7
3648,5
3120,6
5529,5
592,5
4758,6
88,5
3178,6
6122,6
3065,6
792,5
1085,5
4989,6
1682,7
5733,5
4358,5
6345,5
666,6
1498,6
1651,6
4168,6
2039,5
589,6
6402,6
1194,6
5394,6
3152,6
506,5
5769,5
4244,5
3690,7
4683,6
2392,7
6318,5
2468,6
885,7
5127,5
1587,6
1118,5
3541,6
5038,5
2728,6
1964,5
5357,3
5647,6
4983,5
4118,8
599,7
5553,5
5725,5
2588,7
1658,5
2575,6
1863,5
740,3
2049,7
6150,5
3901,4
2145,6
4216,5
2640,6
3406,6
4789,6
2878,6
5932,6
5511,5
5443,5
6160,5
594,5
1137,8
2839,7
4547,6
1886,5
2348,6
1292,6
3296,5
3386,8
3422,8
5462,6
3455,6
2162,6
597,6
1152,4
4707,6
148,7
4372,6
4957,6
4148,6
543,6
2048,5
1883,5
4091,6
232,6
5273,7
1668,7
3672,8
2291,6
968,7
999,7
1996,6
3719,5
4785,7
899,6
2047,5
4632,6
5628,5
6208,5
780,4
1020,7
343,5
1227,5
1199,7
580,5
3876,5
1297,7
5831,5
1046,5
3171,6
5840,7
2744,6
4129,7
4088,6
2350,5
106,5
3999,6
2868,5
333,5
5435,6
565,6
4084,8
3263,8
1647,7
2214,5
2676,6
5204,5
2599,6
5057,6
1948,7
3606,5
3008,7
5030,5
5554,5
1814,7
4115,6
4904,5
5295,6
5922,7
4292,6
3115,6
4727,6
3599,6
1372,6
1450,6
2763,6
2012,5
247,7
6217,6
1824,5
3968,6
6482,7
4884,5
1582,7
3902,6
5513,5
1339,6
6437,5
4513,6
1531,7
2843,6
4399,5
2227,5
4555,5
5590,5
539,6
2488,6
1467,7
3781,6
1006,6
786,6
6021,6
269,6
2035,5
2538,6
1644,7
340,7
3367,6
3174,8
1132,5
4639,6
5756,7
287,7
4125,5
703,6
1905,6
5893,6
1388,7
5595,6
4010,6
3041,6
970,7
6469,6
5711,4
2384,8
891,7
6112,6
6252,5
5991,7
3372,6
4809,6
3341,6
2967,6
3002,7
1856,4
3548,6
3926,6
3213,6
2705,6
4018,6
1933,5
2476,6
2286,5
933,5
2845,7
1632,8
785,6
5864,7
4404,5
4142,6
533,6
866,7
672,8
1702,4
5607,6
6068,6
5350,6
6043,6
759,7
5591,5
3957,5
5668,6
4565,5
4725,6
1912,6
3615,6
3053,5
6130,5
499,4
439,5
5477,6
5926,6
5188,7
2361,5
6474,6
3264,6
4487,6
152,6
3872,4
4776,6
4893,6
328,6
5621,5
52,7
962,6
3549,6
4656,7
1113,5
5098,7
3927,5
4131,5
5233,7
2034,5
2805,6
4308,6
1554,7
570,5
5616,5
1542,6
4717,6
4900,5
396,5
6214,6
1050,5
1671,7
5433,6
6454,5
2363,5
1774,6
5450,6
444,6
2093,5
1443,6
2975,6
2753,8
5838,7
345,6
2776,8
2725,5
4004,7
4201,6
476,7
180,6
4133,6
3875,7
1446,6
5040,6
374,7
3941,5
2787,5
5687,5
973,7
1060,7
5288,8
2394,5
5159,4
975,5
5390,7
5091,5
2628,6
5406,6
814,6
682,6
6151,5
6123,5
5728,4
854,7
4305,6
1777,6
3366,6
1419,7
1746,5
2965,8
1776,5
994,6
3861,6
2438,5
6325,5
6359,4
1381,7
4534,6
6360,6
5632,5
5641,5
145,6
1619,8
4747,6
57,6
1374,7
3546,6
4302,6
2447,6
963,6
2577,5
1207,5
5765,6
60,6
4532,6
4642,7
2890,8
2526,7
3578,4
6004,6
2529,5
4635,6
3680,6
2470,5
4212,4
2517,6
3189,5
3693,7
886,6
4283,6
708,6
2923,6
1064,6
704,6
4882,5
2922,8
4121,6
5325,6
4615,7
3027,5
1591,6
1786,7
5551,6
2341,5
5318,7
3039,6
5027,5
6175,6
141,5
3098,7
2756,6
4823,7
702,4
4072,7
750,6
493,6
3659,8
3995,5
1361,7
662,4
2947,6
2561,5
1111,6
3731,6
1755,6
4085,6
719,7
1243,7
5726,8
2314,6
51,7
3176,6
4424,6
418,6
2759,6
4570,6
1975,6
5664,5
6222,6
3037,6
3294,6
6344,5
1857,5
1370,6
4258,6
5886,5
4798,5
632,6
6024,6
276,6
3736,4
2409,4
5108,6
4876,7
2052,5
4253,4
5962,6
5167,6
980,6
1993,6
6062,5
3859,5
2135,5
211,7
4329,5
2473,6
4013,6
3311,7
940,5
2230,7
2018,7
5130,6
5234,6
2587,6
873,3
3162,7
1428,7
4036,5
1739,4
478,6
465,5
4722,6
4544,6
4314,7
1214,6
4867,6
2434,6
5579,6
5767,6
5078,5
714,6
3151,6
1764,5
5609,5
4485,6
5411,7
529,6
1165,5
3870,6
536,5
4475,6
4548,5
5661,5
2006,6
361,5
3627,5
5174,6
2290,7
5746,5
875,7
4376,5
634,6
6083,6
4728,6
813,6
5384,5
5866,6
3257,6
1136,8
2642,5
2622,7
27,6
2143,7
99,6
202,5
4506,6
327,6
1593,6
2071,6
5263,6
3071,7
2929,6
4311,5
572,5
6164,6
210,5
5370,6
3723,7
3681,8
4480,5
4169,7
5353,8
745,6
2352,6
2425,6
5207,6
5000,6
4278,4
953,5
3137,6
6047,6
2337,4
4141,6
6451,5
104,5
5580,5
835,8
1752,6
356,6
4502,6
3045,6
6309,6
4389,4
4843,5
2038,5
1781,4
890,6
6092,6
3688,6
5690,6
6162,6
1532,7
2248,6
6074,4
4626,6
1018,6
3948,5
212,5
1921,5
2908,6
5003,5
4617,7
6425,6
5576,5
6292,5
6121,6
6300,6
818,5
2703,5
1215,5
1191,7
5606,6
2707,5
2692,6
1399,6
1944,5
6234,5
2857,8
446,5
4546,6
3668,5
2977,6
2399,6
2792,5
5463,5
1200,6
4719,6
2377,6
5383,5
4434,6
5832,5
4051,6
4592,6
4577,6
531,5
3093,7
5703,7
5981,6
5053,5
1242,7
4580,6
4748,5
4605,6
2440,5
1253,7
2834,6
6493,6
5934,7
3275,4
2724,6
2194,6
2509,5
3360,7
5802,7
5800,7
3052,7
5747,5
1338,5
733,6
778,7
3447,6
710,5
2842,6
1665,8
4969,5
4602,6
1730,6
2726,6
4606,5
0,6
3637,7
4020,4
6248,5
412,5
4387,6
6255,6
4845,5
1116,5
5564,6
1902,6
5343,6
2727,6
2503,4
4674,7
3147,6
2112,5
1920,7
3956,5
4432,6
1068,7
5895,7
6409,5
2322,6
3552,6
5854,6
3103,7
4791,6
4460,6
1088,6
2778,7
2390,8
820,9
5908,7
3809,6
5975,5
294,3
2771,6
188,8
5940,6
4682,6
2706,6
5242,6
4137,5
2910,5
4840,7
3983,6
3410,7
3329,6
4303,6
3297,5
155,6
4517,6
956,5
3084,6
3157,7
4428,6
3054,6
5964,7
2861,6
3759,6
2347,6
1312,5
1795,6
6143,5
281,8
4641,6
24,6
5839,7
216,5
5202,5
6490,6
1635,6
4056,5
4762,7
5441,6
5732,5
131,7
3342,5
2983,6
3840,6
2767,6
5124,6
2140,5
6478,6
2654,5
3216,5
5592,5
2648,6
816,5
6388,6
4478,5
2635,6
6302,6
2345,6
2260,5
3299,7
3771,6
407,5
311,8
4078,6
5074,5
5875,5
1041,5
1057,5
1801,5
301,6
2215,6
3874,5
4607,6
254,6
1529,6
2751,6
4836,5
470,6
3803,6
6246,5
2833,7
1734,6
5031,6
3323,6
3285,7
463,6
6104,7
5698,5
515,6
2137,5
3298,6
325,5
394,5
6296,7
5212,5
4351,6
3848,6
6436,5
5329,5
4664,7
1854,7
2689,6
5361,5
4318,7
3095,6
1589,6
901,6
748,6
6188,5
1318,6
5254,5
2811,5
2836,6
6421,5
4030,5
6025,6
5114,5
3165,6
3921,5
2065,5
1404,5
3979,6
460,5
6371,5
5825,4
1264,5
5911,6
3612,6
5545,4
5829,5
5289,6
66,7
831,4
486,6
6323,6
604,6
827,9
5633,5
5364,6
4780,5
2939,8
107,6
3871,6
2177,7
4031,5
4179,5
2253,5
6048,7
610,8
1158,6
3737,5
4540,6
3743,7
6343,6
2433,6
5887,6
1030,6
5486,8
2629,5
2871,6
1451,5
4265,6
4360,5
6475,6
3856,6
806,5
2169,7
1544,5
63,6
18,6
177,5
3752,5
5611,5
2732,5
6462,5
4834,7
2266,5
3113,6
2097,5
1434,5
5761,5
6491,6
1008,7
5313,5
1888,5
2846,7
2945,8
2892,5
2284,5
5432,6
4300,5
5919,6
1724,6
5309,5
5219,5
1997,6
3104,5
6019,6
2489,6
4049,6
1508,6
4726,6
5833,6
2639,6
6303,7
6027,6
3745,7
310,7
4293,5
4472,5
2002,6
4646,7
3222,6
511,6
4563,7
1484,3
578,7
972,6
1699,6
6467,6
770,7
1073,5
4613,5
996,5
4523,5
5731,4
1512,7
3770,4
3440,5
4286,6
4999,6
960,6
1268,5
1711,5
2942,5
2525,8
1783,6
1436,5
6202,5
6154,5
445,3
1493,8
6159,4
2949,6
3203,7
5987,7
6243,6
2029,6
4035,6
3532,6
56,6
1684,7
3830,7
4590,6
2513,5
1171,5
5510,6
2735,6
2454,5
3246,6
4147,7
3607,6
2698,6
3249,7
5536,7
4753,6
4411,7
6197,3
3452,5
2505,6
3897,6
3085,6
5016,6
3164,6
5356,7
2770,7
1841,7
4672,5
4803,7
350,7
1285,6
268,6
5883,6
1327,6
1364,5
6174,4
2821,5
1980,8
6067,6
1818,6
2179,6
1347,7
3357,7
154,6
6201,5
3400,6
466,6
4335,8
2176,5
4850,6
6192,6
3755,6
6468,6
3108,5
6011,6
913,5
2946,6
1607,7
3629,6
1156,6
2838,7
584,7
983,6
5315,5
1911,6
884,6
5195,5
4481,5
3624,7
2000,5
1251,5
2781,6
2357,5
798,6
4630,7
1417,3
4801,7
1170,6
2245,7
3556,7
3469,6
1377,6
2045,5
5889,5
4068,6
2464,5
1959,5
2325,6
639,5
5054,5
2225,4
1962,5
2095,5
92,7
3516,7
705,5
3345,6
1222,6
1235,5
3214,6
